county,year,crmrte,prbarr,prbconv,prbpris,polpc,density,wtrd,wser,wmfg
1,81,0.0398849,0.289696,0.402062,0.472222,0.0017868,2.307159,182.333,215.7335,229.12
1,82,0.0383449,0.338111,0.433005,0.506993,0.0017666,2.330254,189.5414,231.5767,240.33
1,83,0.0303048,0.330449,0.525703,0.479705,0.0018358,2.341801,196.6395,240.1568,269.7
1,84,0.0347259,0.362525,0.604706,0.520104,0.0018859,2.34642,200.5629,252.4477,281.74
1,85,0.036573,0.325395,0.578723,0.497059,0.0019244,2.364896,206.8827,261.0861,298.88
1,86,0.0347524,0.326062,0.512324,0.439863,0.0018952,2.385681,218.5165,269.6129,322.65
1,87,0.0356036,0.29827,0.527596,0.43617,0.0018279,2.422633,221.2701,274.1775,334.54
3,81,0.0163921,0.202899,0.869048,0.465753,0.0005939,0.976834,151.4234,191.3742,210.75
3,82,0.0190651,0.162218,0.772152,0.377049,0.0007047,0.992278,156.8826,208.819,217.77
3,83,0.0151492,0.181586,1.02817,0.438356,0.0006587,1.003861,157.1295,219.0847,236.64
3,84,0.0136621,0.194986,0.885714,0.5,0.0006089,1.015444,162.2665,228.5922,255.22
3,85,0.0120346,0.206897,0.909091,0.366667,0.0006413,1.030888,173.1681,257.655,262.06
3,86,0.0129982,0.156069,1.03704,0.392857,0.0006762,1.034749,181.6732,228.1617,279.38
3,87,0.0152532,0.132029,1.48148,0.45,0.0007459,1.046332,196.0101,192.3077,300.38
5,81,0.0093372,0.406593,0.27027,0.5,0.0008209,0.4127659,143.5132,158.2278,157.24
5,82,0.0123229,0.38,0.736842,0.392857,0.0013555,0.4170213,160.7526,166.7064,164.62
5,83,0.0128064,0.561905,0.559322,0.272727,0.0013416,0.4170213,165.9508,174.8252,178.17
5,84,0.0138299,0.666667,0.447368,0.411765,0.0013345,0.4170213,167.2241,180.9955,192.17
5,85,0.0124753,0.60396,0.180328,0.545455,0.0014822,0.4127659,200.157,190.6257,192.6
5,86,0.0142385,0.695652,0.270833,0.269231,0.001135,0.4127659,215.416,196.3502,216.69
5,87,0.0129603,0.444444,0.267857,0.6,0.0012343,0.4127659,229.3209,209.6972,237.65
7,81,0.0219159,0.431095,0.627049,0.431373,0.0014327,0.4821764,174.2457,208.4636,215.57
7,82,0.0173807,0.612335,0.582734,0.37037,0.0014165,0.4878049,181.7081,239.6713,219.56
7,83,0.024211,0.419405,0.787313,0.236967,0.0014398,0.489681,187.2412,245.262,231.09
7,84,0.0223434,0.412458,0.497959,0.442623,0.0015046,0.4915572,187.7682,267.3797,247.55
7,85,0.0245848,0.380655,0.381148,0.483871,0.0015341,0.4934334,196.3563,279.7203,253.55
7,86,0.0241281,0.308057,0.615385,0.483333,0.0014103,0.4934334,197.0366,259.6154,275.95
7,87,0.0267532,0.36476,0.525424,0.435484,0.0015299,0.4915572,191.172,256.7214,281.8
9,81,0.0075178,0.631579,0.555556,0.383333,0.0008353,0.5305164,152.7354,178.7785,202.04
9,82,0.0087368,0.567164,0.640351,0.356164,0.0007389,0.5352113,149.326,180.5706,204.66
9,83,0.0136804,0.377358,0.525,0.428571,0.0008604,0.5399061,152.6829,184.8266,235.73
9,84,0.0143262,0.41018,0.664234,0.395604,0.0009007,0.544601,177.8069,208.0251,245.88
9,85,0.0133173,0.393548,0.622951,0.407895,0.0009021,0.5492958,194.7082,216.0761,265.99
9,86,0.0114417,0.462687,0.596774,0.445946,0.0008539,0.544601,202.1696,219.7802,277.15
9,87,0.0106232,0.518219,0.476563,0.442623,0.0008602,0.5469484,206.8215,215.1933,290.89
11,81,0.0188472,0.36965,0.557895,0.226415,0.0019067,0.5910931,150.5835,176.5392,187.2
11,82,0.0198536,0.425856,0.196429,0.363636,0.0013588,0.5951417,158.7005,197.6682,173.32
11,83,0.0191668,0.354244,0.354167,0.323529,0.0019803,0.5991903,169.1857,203.7912,199.88
11,84,0.0168042,0.446429,0.21,0.380952,0.0025506,0.6072875,169.3902,209.1609,212.34
11,85,0.0141194,0.530806,0.455357,0.27451,0.0024759,0.6072875,181.2447,224.2694,205.47
11,86,0.0170081,0.401544,0.211538,0.363636,0.0028238,0.6072875,183.38,217.8042,207.1
11,87,0.0146067,0.524664,0.0683761,0.5,0.002882,0.6113361,187.8255,237.1507,258.6
13,81,0.0300493,0.319665,0.481675,0.5,0.001207,0.4975787,172.9289,182.9082,214.93
13,82,0.0363259,0.332885,0.430303,0.497653,0.0013436,0.5048426,172.4643,198.3213,221.54
13,83,0.0325271,0.326021,0.491879,0.485849,0.0014763,0.5096852,178.4231,208.4831,240.26
13,84,0.0301272,0.302176,0.522667,0.423469,0.0012138,0.5145279,184.9458,223.8502,262.75
13,85,0.0349786,0.298962,0.381944,0.454545,0.0013556,0.5242131,192.8121,231.761,270.01
13,86,0.033536,0.309206,0.522727,0.430435,0.0012726,0.5169492,280.4174,243.3984,287.42
13,87,0.0296409,0.365004,0.520607,0.420833,0.0013377,0.5169492,205.5358,259.3391,303.42
15,81,0.0168055,0.453258,0.575,0.48913,0.0009521,0.3009986,164.6214,169.6833,183.17
15,82,0.0200047,0.444706,0.37037,0.442857,0.0008473,0.3024251,179.1843,188.3426,200.53
15,83,0.0142092,0.383607,0.820513,0.604167,0.0008852,0.3052782,178.2224,182.7358,207.67
15,84,0.016346,0.345714,0.487603,0.457627,0.0009341,0.3038516,181.0969,167.8877,211.47
15,85,0.0160135,0.423977,0.565517,0.47561,0.0008896,0.3052782,193.818,172.3187,217.01
15,86,0.0194461,0.419277,0.626437,0.412844,0.0009372,0.3024251,203.8511,210.6551,231.28
15,87,0.0202814,0.392111,0.769231,0.507692,0.0010353,0.3009986,199.2377,206.2816,235.05
17,81,0.0186469,0.483986,0.463235,0.460317,0.0013272,0.3492605,178.4642,161.216,235.61
17,82,0.0211586,0.420155,0.476015,0.387597,0.001345,0.3492605,173.3922,162.1529,255.62
17,83,0.0202915,0.3632,0.546256,0.427419,0.0012987,0.3481229,172.2408,182.2645,283.19
17,84,0.0179276,0.422383,0.581197,0.404412,0.0012621,0.3503982,185.4396,196.1538,297.23
17,85,0.0196959,0.464463,0.30605,0.453488,0.0013673,0.3503982,190.5012,201.8889,290.7
17,86,0.0185879,0.395257,0.62,0.395161,0.0014327,0.3503982,200.6549,200.9185,307.96
17,87,0.0304289,0.251599,0.436441,0.436893,0.0012976,0.3503982,202.9595,208.252,339.76
19,81,0.0225338,0.326196,0.505792,0.40458,0.0019298,0.4337209,144.7477,174.047,419.46
19,82,0.0183782,0.189313,1.12903,0.435714,0.001936,0.4534884,139.9941,194.1957,428.16
19,83,0.0145267,0.232283,0.855932,0.356436,0.0021733,0.4767442,151.6695,218.4867,477.16
19,84,0.013686,0.217308,1.04425,0.457627,0.0019476,0.5046512,158.0218,223.524,492.51
19,85,0.0128511,0.291667,1.22078,0.356383,0.0018741,0.5302325,162.2066,221.6631,517.63
19,86,0.0174337,0.244819,0.84127,0.36478,0.001784,0.555814,165.664,246.4475,533.83
19,87,0.0221567,0.16286,1.22561,0.333333,0.0020243,0.5767442,191.2452,266.0934,567.06
21,81,0.0350348,0.262854,0.291417,0.541096,0.0018014,2.461305,183.7432,217.2891,275.75
21,82,0.0367896,0.240573,0.297741,0.565517,0.0017689,2.485584,197.0567,237.9542,293.62
21,83,0.0366069,0.245824,0.307129,0.611714,0.0016787,2.497724,202.762,251.2563,311.46
21,84,0.0384395,0.250543,0.296778,0.559499,0.0017722,2.52352,207.6434,267.4396,333.59
21,85,0.0413296,0.258131,0.272985,0.469854,0.0019133,2.555387,217.641,283.1928,344.25
21,86,0.0441642,0.248385,0.288191,0.413534,0.0018719,2.579666,219.643,290.3056,366.11
21,87,0.0437355,0.23476,0.334701,0.429072,0.0018296,2.602428,228.174,318.3635,378.9
23,81,0.0319175,0.194303,0.28884,0.439394,0.0014249,1.452381,165.6805,221.4906,243.14
23,82,0.0290211,0.286639,0.277419,0.47093,0.0013685,1.470238,179.2207,236.5089,251.49
23,83,0.0286164,0.280522,0.307309,0.356757,0.0013735,1.468254,181.1462,250.2587,283.08
23,84,0.02755,0.334615,0.310345,0.393519,0.0013643,1.484127,195.5186,269.192,300.1
23,85,0.0293095,0.287442,0.294498,0.472527,0.0014041,1.501984,197.8607,282.3159,303.81
23,86,0.0256248,0.304577,0.322971,0.385027,0.0013884,1.507936,201.4156,293.7572,313.04
23,87,0.0269836,0.289121,0.40378,0.365957,0.0014611,1.511905,213.184,315.0242,327.45
25,81,0.0360686,0.255969,0.458955,0.617886,0.0015847,2.406593,176.687,218.8219,224.94
25,82,0.0370917,0.256811,0.43385,0.626374,0.0016122,2.450549,194.6381,245.4318,225.55
25,83,0.0312138,0.291217,0.372064,0.598007,0.0016854,2.478022,191.1698,258.4343,271.96
25,84,0.029444,0.277323,0.41555,0.554839,0.0016528,2.510989,204.8394,271.6023,284.02
25,85,0.0305075,0.282043,0.453287,0.544529,0.0016077,2.532967,204.2759,283.324,287.64
25,86,0.0319331,0.301602,0.320735,0.493631,0.0018003,2.546703,211.1572,297.7125,322.65
25,87,0.0302542,0.323548,0.40678,0.492647,0.0019714,2.574176,220.5897,318.0335,355.59
27,81,0.0353349,0.26433,0.230889,0.547297,0.0013843,1.44586,173.4647,209.9971,215.75
27,82,0.0371544,0.303606,0.206897,0.364198,0.0013686,1.447983,183.6174,223.5665,219.97
27,83,0.0294409,0.244152,0.40519,0.433498,0.0014347,1.43949,189.8921,237.8754,251.63
27,84,0.0300368,0.247358,0.339806,0.4,0.0014427,1.464968,204.7664,251.427,262.51
27,85,0.0355283,0.221862,0.357664,0.505102,0.001424,1.492569,205.1357,256.4711,268.48
27,86,0.0366744,0.217357,0.316547,0.397727,0.0013907,1.488323,203.4225,268.8827,295.08
27,87,0.0382489,0.268018,0.352941,0.321429,0.0014501,1.498938,213.462,292.3517,309.27
33,81,0.020039,0.484561,0.303922,0.5,0.0006188,0.4953271,162.6131,174.8252,237.59
33,82,0.0144477,0.485342,0.47651,0.478873,0.0006589,0.5046729,165.0402,192.3077,212.16
33,83,0.0161148,0.248555,0.872093,0.52,0.000652,0.5093458,176.9231,184.6154,279.95
33,84,0.0141497,0.259615,0.938272,0.421053,0.0005442,0.5163552,189.9335,189.3939,286.18
33,85,0.0153797,0.21791,1.30137,0.484211,0.0007805,0.5233645,179.3915,190.9438,268.36
33,86,0.0153723,0.255072,1.04545,0.413043,0.000802,0.5257009,186.5672,187.3127,295.88
33,87,0.0159189,0.27095,0.515464,0.48,0.0007559,0.5257009,195.1995,172.4733,324.45
35,81,0.0414138,0.287653,0.252358,0.53271,0.0017513,2.694444,208.3428,224.0796,243.86
35,82,0.0489555,0.239077,0.234968,0.457912,0.0017501,2.724747,217.3804,240.5594,253.29
35,83,0.0412081,0.285427,0.246672,0.511111,0.0017224,2.760101,229.4109,248.4358,274.65
35,84,0.0404708,0.282276,0.27012,0.39233,0.0017568,2.800505,232.9108,256.5862,291.69
35,85,0.0455489,0.260844,0.299924,0.450633,0.0017862,2.84596,247.0921,277.5946,305.48
35,86,0.0417065,0.252281,0.284272,0.449704,0.0019468,2.883838,255.9265,3.336744,327.03
35,87,0.0408569,0.266026,0.325301,0.37037,0.0018944,2.924242,277.2925,296.8491,341.32
37,81,0.0223026,0.238786,0.712707,0.341085,0.0010886,0.480226,166.8613,160.9624,230.23
37,82,0.0201309,0.325145,0.466667,0.390476,0.0011636,0.4844633,173.8058,172.2853,235.83
37,83,0.0190303,0.30711,0.359606,0.369863,0.0011228,0.4872881,189.4856,176.0253,258.79
37,84,0.0196145,0.303338,0.363636,0.407895,0.0012526,0.4957627,194.6593,191.8666,260.81
37,85,0.0207011,0.371547,0.356877,0.53125,0.0012295,0.5,204.1658,198.866,264.78
37,86,0.0252807,0.336689,0.451827,0.154412,0.0012725,0.5084746,212.3901,209.2576,280.19
37,87,0.0226017,0.321867,0.385496,0.316832,0.001305,0.5127119,227.7858,231.3615,321.9
39,81,0.0158129,0.291803,0.280899,0.4,0.0011406,0.4269912,150.1752,142.5729,196.67
39,82,0.0188128,0.258856,0.357895,0.441176,0.0011277,0.4314159,147.3551,187.8005,194.53
39,83,0.0168941,0.3003,0.43,0.348837,0.0011669,0.4336283,156.9491,174.2491,228.99
39,84,0.0142249,0.299296,0.458824,0.512821,0.0010018,0.4424779,162.2074,225.4406,229.12
39,85,0.0130587,0.286822,0.783784,0.258621,0.0011135,0.4469027,166.6872,222.2652,257.85
39,86,0.0113079,0.20354,1.06522,0.44898,0.0010007,0.449115,168.6468,230.0151,259.2
39,87,0.0119154,0.308333,0.972973,0.291667,0.0011915,0.4623894,180.0634,246.0152,270.78
41,81,0.0365365,0.389247,0.243094,0.659091,0.0017286,0.6923077,218.1464,185.9168,223.07
41,82,0.0304537,0.423469,0.39759,0.560606,0.0017091,0.6923077,210.9959,197.0855,228.89
41,83,0.0220667,0.463415,0.496241,0.333333,0.0017684,0.6978022,189.6491,195.9467,267.35
41,84,0.0158939,0.463415,0.536842,0.45098,0.0017057,0.7142857,203.492,197.0366,277.28
41,85,0.0125242,0.549383,0.651685,0.5,0.0016235,0.7252747,199.4078,208.0373,295.82
41,86,0.0246998,0.332308,0.25,0.555556,0.001748,0.7362638,220.3357,217.2827,322.9
41,87,0.0257713,0.307246,0.45283,0.520833,0.001494,0.7417582,238.5589,232.5916,332.07
45,81,0.0344852,0.21688,0.457735,0.425087,0.0011571,1.790598,192.9485,214.2704,257.31
45,82,0.0319727,0.219476,0.327731,0.533333,0.001144,1.792735,196.4433,241.9727,267.44
45,83,0.0351112,0.229739,0.278426,0.502618,0.0011406,1.790598,201.1279,257.3699,290.78
45,84,0.0376378,0.238544,0.364474,0.516245,0.0011813,1.814103,215.1336,270.2942,304.42
45,85,0.03854,0.215789,0.321377,0.53125,0.0011813,1.84188,224.4259,275.7024,316.28
45,86,0.0312755,0.278193,0.302013,0.56,0.0011912,1.839744,239.8632,285.0656,340.31
45,87,0.0362807,0.202627,0.450567,0.47482,0.0012153,1.844017,248.7759,293.1148,367.42
47,81,0.0319193,0.302526,0.368635,0.458564,0.0019077,0.5501066,165.2859,178.3689,279.08
47,82,0.0305205,0.336927,0.538,0.371747,0.0018921,0.5479744,171.1498,196.4188,300.65
47,83,0.0291268,0.210342,0.647841,0.328205,0.0019336,0.5501066,182.1096,204.9538,322.06
47,84,0.0296451,0.178862,0.579545,0.385621,0.0019081,0.5533049,172.8098,210.4962,338.1
47,85,0.0293452,0.235624,0.625,0.385714,0.0020167,0.5554371,174.3941,206.7213,355.71
47,86,0.031931,0.188847,0.691275,0.34466,0.0019223,0.5575693,185.1121,223.946,367.42
47,87,0.0313623,0.182927,0.763333,0.270742,0.0012813,0.5639659,194.6777,256.4102,355.83
49,81,0.0359381,0.270776,0.309798,0.432558,0.0011919,1.024251,173.2183,231.32,244.39
49,82,0.0361096,0.310412,0.340426,0.408088,0.0013467,1.048502,178.8462,254.3512,264.05
49,83,0.0359286,0.272624,0.315278,0.418502,0.0014829,1.064194,180.354,276.2078,273.17
49,84,0.0319024,0.326141,0.361323,0.40493,0.0015091,1.095578,189.2236,286.964,277.15
49,85,0.030183,0.322888,0.398031,0.392226,0.0015352,1.132668,194.6482,296.5243,308.93
49,86,0.0320147,0.253112,0.462295,0.375887,0.0014745,1.14408,203.7298,290.9879,344.29
49,87,0.0374979,0.26442,0.371879,0.35689,0.0014853,1.14408,212.4851,304.3066,375.32
51,81,0.0630904,0.201316,0.262496,0.481437,0.0014254,3.7793,171.8197,197.2247,301.96
51,82,0.0628671,0.223799,0.257295,0.417666,0.0014883,3.7793,177.5444,212.5034,329.1
51,83,0.060056,0.214351,0.27041,0.417508,0.0014377,3.817352,187.6015,225.5461,362.25
51,84,0.0591762,0.1901,0.322122,0.449946,0.0014549,3.866058,191.9191,236.013,391.47
51,85,0.0712392,0.171519,0.308015,0.413636,0.0016594,3.888889,198.3625,241.9481,398.06
51,86,0.0704214,0.166131,0.275701,0.424939,0.0014956,3.913242,210.371,250.1447,414.08
51,87,0.0883849,0.155248,0.259833,0.407628,0.001908,3.934551,213.7524,257.3344,441.72
53,81,0.0196669,0.252252,1.21429,0.176471,0.0008859,0.4414063,162.9726,160.2564,148.79
53,82,0.0199702,0.184211,0.690476,0.241379,0.0009635,0.4570313,174.8252,203.4024,101.83
53,83,0.0222781,0.217899,0.642857,0.194444,0.0008669,0.4882813,166.9899,183.1502,129.11
53,84,0.0138866,0.228916,0.921053,0.371429,0.0009202,0.5039063,190.5752,186.1042,178.1
53,85,0.0170847,0.159091,1.05714,0.378378,0.0008542,0.5039063,187.2367,226.2443,184.33
53,86,0.0138049,0.337079,0.5,0.333333,0.0009307,0.5234375,200.3205,203.6199,271.81
53,87,0.0140655,0.303191,0.140351,0.25,0.0011222,0.5351563,219.7802,223.8502,250.42
55,81,0.0397498,0.143426,0.944444,0.367647,0.0032465,0.3606138,139.9271,145.2081,206.69
55,82,0.0467392,0.164154,0.561224,0.454545,0.0032882,0.3759591,140.314,150.1556,219.27
55,83,0.0530843,0.134307,0.543478,0.34,0.0033323,0.3913043,142.8617,154.6632,229.12
55,84,0.0504352,0.180501,0.335766,0.26087,0.0029902,0.4143223,153.6227,166.4336,252.83
55,85,0.0635231,0.202885,0.241706,0.490196,0.0036037,0.4424552,152.1637,181.6435,265.83
55,86,0.074755,0.257564,0.253012,0.25,0.0040596,0.4782609,161.9095,202.2074,281.26
55,87,0.0790163,0.224628,0.207831,0.304348,0.0040096,0.5115089,189.7436,221.3903,319.21
57,81,0.0368013,0.205165,0.533487,0.41342,0.0013775,2.087591,179.6187,204.6954,234.72
57,82,0.0312481,0.281931,0.52544,0.376164,0.0013448,2.104015,185.3762,212.6351,237.27
57,83,0.0290823,0.275154,0.47548,0.376682,0.0013052,2.114964,195.3562,222.3967,265.68
57,84,0.0258322,0.29059,0.489168,0.30303,0.0013524,2.144161,207.7907,228.9377,282.14
57,85,0.0259898,0.303672,0.48366,0.326577,0.0013412,2.164234,215.645,232.1913,294.36
57,86,0.027782,0.291425,0.522513,0.330661,0.0013819,2.20073,224.7244,242.8388,314.38
57,87,0.0300216,0.222002,0.736909,0.320624,0.0013619,2.251825,225.5296,261.3512,324.67
59,81,0.0183936,0.257642,0.601695,0.56338,0.0010442,0.9513109,196.5027,195.178,242.48
59,82,0.016081,0.209877,0.729412,0.387097,0.0009927,0.9700375,203.5123,207.6049,239.17
59,83,0.0159541,0.23399,0.789474,0.333333,0.001061,0.9925094,203.3026,219.0171,253.61
59,84,0.0160226,0.301176,0.554688,0.323944,0.0010933,1.007491,214.78,250.8361,275.94
59,85,0.015924,0.231651,1.22772,0.241935,0.0008765,1.037453,214.2559,264.038,292.93
59,86,0.0193287,0.796262,0.13615,0.431034,0.0010477,1.011236,212.181,283.6053,300.93
59,87,0.0233327,0.227753,0.622517,0.425532,0.0011965,1.026217,210.3365,316.6645,316.57
61,81,0.0248057,0.1917,0.912371,0.39548,0.0012501,0.4981685,165.4156,176.2305,189.68
61,82,0.0225081,0.279781,0.628906,0.447205,0.0013284,0.5006105,179.4236,188.537,196.84
61,83,0.0177485,0.411523,0.546667,0.481707,0.0015338,0.5018315,187.7088,183.9184,215.3
61,84,0.0169917,0.396527,0.547445,0.4,0.001377,0.5079365,192.7581,183.7536,224.45
61,85,0.0179394,0.495924,0.454795,0.391566,0.0013649,0.5079365,202.9866,186.846,240.67
61,86,0.0215632,0.343537,0.640264,0.350515,0.0014913,0.5091575,213.4839,194.7082,251.95
61,87,0.0233677,0.398119,0.493438,0.361702,0.0014162,0.5079365,214.2203,203.8864,266.58
63,81,0.0813022,0.157454,0.270823,0.388679,0.0022306,5.177852,184.6374,267.1611,407.45
63,82,0.0785857,0.155625,0.313591,0.394604,0.0024576,5.214765,195.15,294.2581,449.77
63,83,0.0760822,0.140742,0.349671,0.417094,0.0025922,5.2651,207.2916,313.011,487.81
63,84,0.073959,0.12898,0.405121,0.465154,0.0027058,5.345638,2242.747,329.8855,526.28
63,85,0.0703023,0.142794,0.519003,0.40096,0.0023205,5.426175,235.2634,348.4926,551.96
63,86,0.0690603,0.113018,0.509539,0.424337,0.0023762,5.563758,233.9773,367.5402,593.47
63,87,0.0706599,0.133225,0.459216,0.363636,0.0023761,5.674497,238.9154,391.3081,646.85
65,81,0.054168,0.130332,0.524675,0.480198,0.0010269,1.118577,170.8154,162.6926,250.33
65,82,0.0524684,0.158604,0.566449,0.538462,0.0010153,1.126482,179.6997,167.9902,251.07
65,83,0.0458803,0.15526,0.397985,0.462025,0.0009869,1.132411,185.109,180.3248,266.48
65,84,0.0481331,0.135991,0.646575,0.580508,0.0010581,1.144269,187.1591,197.996,276.77
65,85,0.0603418,0.311758,0.140317,0.38914,0.0006569,1.156126,192.8864,203.9307,296.39
65,86,0.0636435,0.286722,0.141192,0.426606,0.00065,1.166008,203.657,208.1992,304.62
65,87,0.0658801,0.28733,0.154452,0.403922,0.0018574,1.167984,209.0579,216.4589,313.71
